imname	RA	DEC	EXPTIME
Q74F1V1	14:53:57	-07:31:25	40
Q74F4V1	14:53:56	-09:29:49	40
Q74F3V1	15:00:25	-10:27:01	40
Q74F2V1	15:00:24	-08:30:37	40
Q74F1V2	14:53:57	-07:31:25	40
Q74F4V2	14:53:56	-09:29:49	40
Q74F3V2	15:00:25	-10:27:01	40
Q74F2V2	15:00:24	-08:30:37	40
Q74F1V3	14:53:57	-07:31:25	40
Q74F4V3	14:53:56	-09:29:49	40
Q74F3V3	15:00:25	-10:27:01	40
Q74F2V3	15:00:24	-08:30:37	40
Q74F1V4	14:53:57	-07:31:25	40
Q74F4V4	14:53:56	-09:29:49	40
Q74F3V4	15:00:25	-10:27:01	40
Q74F2V4	15:00:24	-08:30:37	40
Q74F1V5	14:53:57	-07:31:25	40
Q74F4V5	14:53:56	-09:29:49	40
Q74F3V5	15:00:25	-10:27:01	40
Q74F2V5	15:00:24	-08:30:37	40
SLEW_QX_QY	15:00:24	-08:30:37	60
