imname	RA	DEC	EXPTIME
Q7F1V1	13:20:16	-19:17:49	40
Q7F2V1	13:20:14	-21:14:13	40
Q7F3V1	13:27:06	-22:13:25	40
Q7F4V1	13:27:03	-20:15:01	40
Q7F1V2	13:20:16	-19:17:49	40
Q7F2V2	13:20:14	-21:14:13	40
Q7F3V2	13:27:06	-22:13:25	40
Q7F4V2	13:27:03	-20:15:01	40
Q7F1V3	13:20:16	-19:17:49	40
Q7F2V3	13:20:14	-21:14:13	40
Q7F3V3	13:27:06	-22:13:25	40
Q7F4V3	13:27:03	-20:15:01	40
Q7F1V4	13:20:16	-19:17:49	40
Q7F2V4	13:20:14	-21:14:13	40
Q7F3V4	13:27:06	-22:13:25	40
Q7F4V4	13:27:03	-20:15:01	40
Q7F1V5	13:20:16	-19:17:49	40
Q7F2V5	13:20:14	-21:14:13	40
Q7F3V5	13:27:06	-22:13:25	40
Q7F4V5	13:27:03	-20:15:01	40
SLEW_QX_QY	13:27:03	-20:15:01	60
