imname	RA	DEC	EXPTIME
Q2F1V1	13:24:14	00:19:49	40
Q2F4V1	13:24:14	-01:38:1	40
Q2F3V1	13:30:38	-02:37:2	40
Q2F2V1	13:30:37	-00:39:0	40
Q2F1V2	13:24:14	00:19:49	40
Q2F4V2	13:24:14	-01:38:1	40
Q2F3V2	13:30:38	-02:37:2	40
Q2F2V2	13:30:37	-00:39:0	40
Q2F1V3	13:24:14	00:19:49	40
Q2F4V3	13:24:14	-01:38:1	40
Q2F3V3	13:30:38	-02:37:2	40
Q2F2V3	13:30:37	-00:39:0	40
Q2F1V4	13:24:14	00:19:49	40
Q2F4V4	13:24:14	-01:38:1	40
Q2F3V4	13:30:38	-02:37:2	40
Q2F2V4	13:30:37	-00:39:0	40
Q2F1V5	13:24:14	00:19:49	40
Q2F4V5	13:24:14	-01:38:1	40
Q2F3V5	13:30:38	-02:37:2	40
Q2F2V5	13:30:37	-00:39:0	40
SLEW_QX_QY	13:30:37	-00:39:0	60
