imname	RA	DEC	EXPTIME
Q18F1V1	13:32:26	-23:12:3	40
Q18F4V1	13:32:23	-25:09:0	40
Q18F3V1	13:39:28	-26:08:1	40
Q18F2V1	13:39:25	-24:11:4	40
Q18F1V2	13:32:26	-23:12:3	40
Q18F4V2	13:32:23	-25:09:0	40
Q18F3V2	13:39:28	-26:08:1	40
Q18F2V2	13:39:25	-24:11:4	40
Q18F1V3	13:32:26	-23:12:3	40
Q18F4V3	13:32:23	-25:09:0	40
Q18F3V3	13:39:28	-26:08:1	40
Q18F2V3	13:39:25	-24:11:4	40
Q18F1V4	13:32:26	-23:12:3	40
Q18F4V4	13:32:23	-25:09:0	40
Q18F3V4	13:39:28	-26:08:1	40
Q18F2V4	13:39:25	-24:11:4	40
Q18F1V5	13:32:26	-23:12:3	40
Q18F4V5	13:32:23	-25:09:0	40
Q18F3V5	13:39:28	-26:08:1	40
Q18F2V5	13:39:25	-24:11:4	40
SLEW_QX_QY	13:39:25	-24:11:4	60
