UTC	Airmass
2014-04-29 22:30:00	5.570
2014-04-29 23:00:00	3.647
2014-04-29 23:30:00	2.704
2014-04-30 00:00:00	2.155
2014-04-30 00:30:00	1.802
2014-04-30 01:00:00	1.560
2014-04-30 01:30:00	1.388
2014-04-30 02:00:00	1.262
2014-04-30 02:30:00	1.170
2014-04-30 03:00:00	1.102
2014-04-30 03:30:00	1.054
2014-04-30 04:00:00	1.022
2014-04-30 04:30:00	1.005
2014-04-30 05:00:00	1.000
2014-04-30 05:30:00	1.009
2014-04-30 06:00:00	1.030
2014-04-30 06:30:00	1.066
2014-04-30 07:00:00	1.120
2014-04-30 07:30:00	1.194
2014-04-30 08:00:00	1.295
2014-04-30 08:30:00	1.432
2014-04-30 09:00:00	1.621
2014-04-30 09:30:00	1.890
2014-04-30 10:00:00	2.288
2014-04-30 10:30:00	2.922
2014-04-30 11:00:00	4.056
2014-04-30 11:30:00	6.543
2014-04-30 12:00:00	13.269
